name,ScoreSaberID,Azazal - Paws And Play Expert+,Yunomi - Koi no Uta (feat.Yuzaki Tsukasa) Expert+,USAO - Chariot Expert+,Misato Aki - Desire Hard,여유만만 - Lee Gwang Su and Curse of Mosquito Expert
notes,0,1225,1334,1213,340,534
makeUmove（本選棄権）,https://scoresaber.com/u/76561198153055189,91.5,92.64,90.03,96.96,84.29
seaquil,https://scoresaber.com/u/76561198089136169,88.5,81.09,83.58,95.78,84.33
かっぱの旦那,https://scoresaber.com/u/76561198192256606,88.1,91.66,82.46,96.27,81.23
Marsh,https://scoresaber.com/u/1477469542377599,94.52,94.86,94.18,97.43,89.34
Dragunov,https://scoresaber.com/u/76561198058827356,92.21,94.84,93.16,97.42,92.54
Naru_mori,https://scoresaber.com/u/76561198282478873,93.6,94.14,94.17,98.06,93.24
maso,https://scoresaber.com/u/2985005531524930,93.35,95.09,94.22,97.26,93.62
rei05_h,https://scoresaber.com/u/2706482852701803,94.68,95.41,95.03,97.11,92.7
oriha,https://scoresaber.com/u/76561198856489523,29.68,94.82,15.9,97.55,15.8
FaZPi,https://scoresaber.com/u/76561198373858287,95.59,96.35,95.43,98.37,94.94
take_nyan,https://scoresaber.com/u/76561198138892498,91.88,92.6,93.04,97.85,87.15
purini,https://scoresaber.com/u/76561198381759402,90.41,84.36,85.8,95.01,71.4
hibit,https://scoresaber.com/u/76561198405857645,82.71,83.8,84.57,95.19,65.7
bluewingoo,https://scoresaber.com/u/76561198092977917,92.8,94.2,90.82,97.94,85.68
JIYU,https://scoresaber.com/u/76561198840365099,85.18,89.79,90.08,96.64,83.38
磯菜うどん,https://scoresaber.com/u/76561198166173965,93.02,93.43,93.59,97.22,94.1
orugam（本選棄権）,https://scoresaber.com/u/76561198825880947,94.33,94.69,93.37,97.17,93.27
garai_JLS（本選棄権）,https://scoresaber.com/u/76561198005851277,88.7,93.05,91.41,96.1,89.79
INASSA（本選棄権）,https://scoresaber.com/u/76561198141804190,92.92,93.89,91.44,97.37,91.52
habryka（本選棄権）,https://scoresaber.com/u/76561198056948796,91.12,90.66,93.16,0,0
aoyan（本選棄権）,  https://scoresaber.com/u/76561198332806104,90.57,92.95,93.71,97.39,79.41
sekki,https://scoresaber.com/u/76561198119167830,79.25,94.16,92.32,97.06,59.84
